text,label
order now free shipping,spam
weekly report attached please review - thanks,ham
Re: flight confirmation booking abc123,ham
weekly report attached please review - thanks,ham
[SPAM] congratulations your email won prize,spam
Shipping Confirmation Order 12345,ham
adult content exclusive access click!!!,spam
confirm update attached,ham
Your Refund Is Waiting Claim Now,spam
password reset request received - thanks,ham
lose weight fast no exercise needed!!!,spam
MEET SINGLES IN YOUR AREA TONIGHT,spam
Reminder About Appointment Tomorrow,ham
YOUR ORDER HAS SHIPPED,ham
TEAM MEETING TOMORROW AT 3PM,ham
meet singles in your area tonight,spam
free money click here now,spam
reminder: appointment,ham
meeting report at document,ham
get rich quick work from home http://example.com,spam
Re: calendar invite team sync,ham
act immediately avoid account closure http://example.com,spam
shipping confirmation order 12345 - thanks,ham
password reset request received - thanks,ham
PLEASE REVIEW THE PROPOSAL,ham
monthly newsletter january - thanks,ham
JOB OFFER SALARY $100K WORK FROM HOME,spam
password reset request received,ham
ADULT CONTENT EXCLUSIVE ACCESS CLICK,spam
CONGRATULATIONS YOUR EMAIL WON PRIZE,spam
Re: password reset request received,ham
SHIPPING CONFIRMATION ORDER 12345,ham
Happy Birthday Hope You Have A Great Day,ham
LUNCH PLANS FOR FRIDAY,ham
Re: monthly newsletter january,ham
Nigerian Prince Needs Your Help,spam
Re: shipping confirmation order 12345,ham
EARN $5000 DAILY FROM HOME,spam
your account has been compromised click link!!!,spam
GREAT WORK ON THE PRESENTATION,ham
[SPAM] job offer salary $100k work from home,spam
nigerian prince needs your help http://example.com,spam
Re:  receipt for your purchase,ham
can you review my pull request,ham
urgent action required verify account http://example.com,spam
happy birthday hope you have a great day,ham
extreme discount luxury items!!!,spam
thank you for your purchase,ham
congratulations your email won prize,spam
Calendar Invite Team Sync,ham
sync for welcome,ham
Weekly Report Attached Please Review,ham
great work on the presentation - thanks,ham
[SPAM] meet singles in your area tonight,spam
Limited Time Offer Act Now,spam
discount urgent action click,spam
calendar invite team sync - thanks,ham
SUSPENDED ACCOUNT VERIFY NOW,spam
act immediately avoid account closure,spam
special promotion just for you http://example.com,spam
deal urgent action offer,spam
calendar invite team sync,ham
can you confirm,ham
subscription renewal coming up,ham
subscription renewal coming up,ham
exclusive suspended for suspended,spam
Thank You For Your Purchase,ham
your prize is money click million,spam
Your Refund Is Waiting Claim Now,spam
congratulations you won lottery http://example.com,spam
CHEAP PHARMA ONLINE NO PRESCRIPTION,spam
congratulations your email won prize http://example.com,spam
[SPAM] adult content exclusive access click,spam
HOTEL BOOKING CONFIRMATION REF 456,ham
reminder: dinner,ham
million dollar opportunity awaits http://example.com,spam
cheap pharma online no prescription http://example.com,spam
Hotel Booking Confirmation Ref 456,ham
Monthly Newsletter January,ham
[SPAM] congratulations your email won prize,spam
Congratulations You Won Lottery,spam
link limited time lottery,spam
CONGRATULATIONS YOU WON LOTTERY,spam
Suspended Account Verify Now,spam
hotel booking confirmation ref 456 - thanks,ham
Welcome To Our Service,ham
congratulations your email won prize!!!,spam
your refund is waiting claim now,spam
limited time offer act now http://example.com,spam
order now free shipping,spam
Calendar Invite Team Sync,ham
meeting lunch at update,ham
LUNCH PLANS FOR FRIDAY,ham
CONGRATULATIONS YOUR EMAIL WON PRIZE,spam
lose weight fast no exercise needed,spam
Adult Content Exclusive Access Click,spam
REMINDER ABOUT APPOINTMENT TOMORROW,ham
reminder about appointment tomorrow - thanks,ham
Documents From Meeting Shared With You,ham
[SPAM] dear winner claim your prize,spam
dinner reservations for saturday - thanks,ham
TEAM MEETING TOMORROW AT 3PM,ham
PLEASE REVIEW THE PROPOSAL,ham
REMINDER ABOUT APPOINTMENT TOMORROW,ham
PASSWORD RESET REQUEST RECEIVED,ham
subscription renewal coming up,ham
Re: account settings updated successfully,ham
 Receipt For Your Purchase,ham
FLIGHT CONFIRMATION BOOKING ABC123,ham
adult content exclusive access click,spam
[SPAM] bitcoin investment opportunity guaranteed returns,spam
Monthly Newsletter January,ham
can you document,ham
dear winner claim your prize http://example.com,spam
extreme discount luxury items!!!,spam
adult content exclusive access click http://example.com,spam
lose weight fast no exercise needed,spam
Re: shipping confirmation order 12345,ham
lose weight fast no exercise needed http://example.com,spam
Password Reset Request Received,ham
Can You Review My Pull Request,ham
[SPAM] extreme discount luxury items,spam
Account Settings Updated Successfully,ham
Act Immediately Avoid Account Closure,spam
limited time offer act now!!!,spam
credit card offer approved click!!!,spam
Re: documents from meeting shared with you,ham
extreme discount luxury items,spam
shipping confirmation order 12345,ham
WELCOME TO OUR SERVICE,ham
Project Update The Codebase Is Ready,ham
nigerian prince needs your help,spam
special promotion just for you,spam
Your Account Has Been Compromised Click Link,spam
Re: reminder about appointment tomorrow,ham
report update attached,ham
bitcoin investment opportunity guaranteed returns!!!,spam
YOUR REFUND IS WAITING CLAIM NOW,spam
Re: can you review my pull request,ham
order now free shipping http://example.com,spam
monthly newsletter january,ham
adult content exclusive access click,spam
[SPAM] credit card offer approved click,spam
can you review my pull request,ham
your refund is waiting claim now,spam
job offer salary $100k work from home http://example.com,spam
million limited time million,spam
Re: hotel booking confirmation ref 456,ham
[SPAM] million dollar opportunity awaits,spam
 receipt for your purchase - thanks,ham
Re: hotel booking confirmation ref 456,ham
project update the codebase is ready - thanks,ham
Re: password reset request received,ham
limited time offer act now!!!,spam
Bitcoin Investment Opportunity Guaranteed Returns,spam
order now free shipping!!!,spam
[SPAM] credit card offer approved click,spam
Re: reminder about appointment tomorrow,ham
free offer only offer,spam
earn $5000 daily from home http://example.com,spam
Re: new message in your inbox,ham
suspended account verify now http://example.com,spam
[SPAM] act immediately avoid account closure,spam
happy birthday hope you have a great day,ham
calendar invite team sync,ham
flight confirmation booking abc123 - thanks,ham
Thanks For The Update John,ham
Nigerian Prince Needs Your Help,spam
suspended account verify now http://example.com,spam
job offer salary $100k work from home,spam
happy birthday hope you have a great day - thanks,ham
Re: welcome to our service,ham
congratulations you won lottery!!!,spam
THANK YOU FOR YOUR PURCHASE,ham
your refund is waiting claim now http://example.com,spam
[SPAM] get rich quick work from home,spam
Flight Confirmation Booking Abc123,ham
PLEASE REVIEW THE PROPOSAL,ham
URGENT ACTION REQUIRED VERIFY ACCOUNT,spam
Re: hotel booking confirmation ref 456,ham
Re: happy birthday hope you have a great day,ham
flight confirmation booking abc123 - thanks,ham
exclusive account for cash,spam
EXTREME DISCOUNT LUXURY ITEMS,spam
[SPAM] suspended account verify now,spam
bitcoin investment opportunity guaranteed returns,spam
 Receipt For Your Purchase,ham
Re: thanks for the update john,ham
Cheap Pharma Online No Prescription,spam
great work on the presentation - thanks,ham
Suspended Account Verify Now,spam
Subscription Renewal Coming Up,ham
lose weight fast no exercise needed http://example.com,spam
million dollar opportunity awaits,spam
extreme discount luxury items http://example.com,spam
calendar invite team sync - thanks,ham
[SPAM] congratulations your email won prize,spam
Re: team meeting tomorrow at 3pm,ham
your account has been compromised click link!!!,spam
exclusive investment for verify,spam
[SPAM] exclusive deal for you only today,spam
lunch plans for friday - thanks,ham
EXCLUSIVE DEAL FOR YOU ONLY TODAY,spam
TEAM MEETING TOMORROW AT 3PM,ham
Great Work On The Presentation,ham
EXCLUSIVE DEAL FOR YOU ONLY TODAY,spam
Monthly Newsletter January,ham
project update the codebase is ready - thanks,ham
[SPAM] exclusive deal for you only today,spam
special promotion just for you http://example.com,spam
subscription renewal coming up,ham
cheap pharma online no prescription http://example.com,spam
monthly newsletter january - thanks,ham
[SPAM] your account has been compromised click link,spam
please review the proposal - thanks,ham
Flight Confirmation Booking Abc123,ham
Congratulations You Won Lottery,spam
Project Update The Codebase Is Ready,ham
 receipt for your purchase - thanks,ham
[SPAM] credit card offer approved click,spam
earn $5000 daily from home,spam
 RECEIPT FOR YOUR PURCHASE,ham
limited time offer act now http://example.com,spam
welcome to our service - thanks,ham
nigerian prince needs your help!!!,spam
YOUR REFUND IS WAITING CLAIM NOW,spam
free money click here now http://example.com,spam
EXTREME DISCOUNT LUXURY ITEMS,spam
account settings updated successfully,ham
your refund is waiting claim now,spam
Credit Card Offer Approved Click,spam
urgent action required verify account!!!,spam
team meeting tomorrow at 3pm - thanks,ham
dinner reservations for saturday,ham
weekly report attached please review - thanks,ham
[SPAM] credit card offer approved click,spam
can you birthday,ham
Re: subscription renewal coming up,ham
subscription renewal coming up - thanks,ham
new message in your inbox,ham
flight confirmation booking abc123 - thanks,ham
free money click here now http://example.com,spam
Act Immediately Avoid Account Closure,spam
Re:  receipt for your purchase,ham
money offer only investment,spam
dear winner claim your prize http://example.com,spam
cheap pharma online no prescription!!!,spam
your schedule confirmation,ham
SUBSCRIPTION RENEWAL COMING UP,ham
schedule update attached,ham
lottery offer only prize,spam
Your Account Has Been Compromised Click Link,spam
Special Promotion Just For You,spam
please review the proposal - thanks,ham
special promotion just for you http://example.com,spam
job offer salary $100k work from home!!!,spam
million dollar opportunity awaits,spam
Re: great work on the presentation,ham
meeting meeting at dinner,ham
 RECEIPT FOR YOUR PURCHASE,ham
your refund is waiting claim now,spam
Adult Content Exclusive Access Click,spam
Dinner Reservations For Saturday,ham
act immediately avoid account closure!!!,spam
earn winner daily verify,spam
Re: dinner reservations for saturday,ham
Bitcoin Investment Opportunity Guaranteed Returns,spam
YOUR ORDER HAS SHIPPED,ham
Re: lunch plans for friday,ham
Job Offer Salary $100K Work From Home,spam
Re: hotel booking confirmation ref 456,ham
Re: please review the proposal,ham
PROJECT UPDATE THE CODEBASE IS READY,ham
account settings updated successfully,ham
Re: can you review my pull request,ham
Re: hotel booking confirmation ref 456,ham
Re: team meeting tomorrow at 3pm,ham
[SPAM] congratulations your email won prize,spam
congratulations you won lottery!!!,spam
can you review my pull request - thanks,ham
your refund is waiting claim now,spam
can you review my pull request,ham
calendar invite team sync - thanks,ham
Re: documents from meeting shared with you,ham
Re: flight confirmation booking abc123,ham
Re: team meeting tomorrow at 3pm,ham
Re: reminder about appointment tomorrow,ham
Job Offer Salary $100K Work From Home,spam
hotel booking confirmation ref 456 - thanks,ham
get rich quick work from home http://example.com,spam
[SPAM] urgent action required verify account,spam
thanks for appointment,ham
Re: lunch plans for friday,ham
Exclusive Deal For You Only Today,spam
documents from meeting shared with you - thanks,ham
dinner reservations for saturday,ham
dinner reservations for saturday - thanks,ham
Credit Card Offer Approved Click,spam
lunch plans for friday,ham
welcome to our service - thanks,ham
MEET SINGLES IN YOUR AREA TONIGHT,spam
Re: documents from meeting shared with you,ham
shipping confirmation order 12345 - thanks,ham
congratulations you won lottery!!!,spam
thank you for your purchase,ham
Your Refund Is Waiting Claim Now,spam
password reset request received - thanks,ham
MONTHLY NEWSLETTER JANUARY,ham
your order has shipped,ham
URGENT ACTION REQUIRED VERIFY ACCOUNT,spam
LIMITED TIME OFFER ACT NOW,spam
FLIGHT CONFIRMATION BOOKING ABC123,ham
[SPAM] limited time offer act now,spam
can you review my pull request - thanks,ham
Calendar Invite Team Sync,ham
[SPAM] order now free shipping,spam
Re: account settings updated successfully,ham
SUBSCRIPTION RENEWAL COMING UP,ham
reminder about appointment tomorrow,ham
shipping confirmation order 12345,ham
[SPAM] your account has been compromised click link,spam
CREDIT CARD OFFER APPROVED CLICK,spam
SUBSCRIPTION RENEWAL COMING UP,ham
your account has been compromised click link,spam
Special Promotion Just For You,spam
claim your million suspended,spam
bitcoin investment opportunity guaranteed returns!!!,spam
job offer salary $100k work from home!!!,spam
TEAM MEETING TOMORROW AT 3PM,ham
Suspended Account Verify Now,spam
free money click here now http://example.com,spam
Re: thank you for your purchase,ham
happy team,ham
meet singles in your area tonight http://example.com,spam
flight confirmation booking abc123,ham
Congratulations Your Email Won Prize,spam
[SPAM] lose weight fast no exercise needed,spam
Happy Birthday Hope You Have A Great Day,ham
Nigerian Prince Needs Your Help,spam
ORDER NOW FREE SHIPPING,spam
meeting team at document,ham
 Receipt For Your Purchase,ham
flight confirmation booking abc123 - thanks,ham
earn click daily suspended,spam
thanks for thanks,ham
Bitcoin Investment Opportunity Guaranteed Returns,spam
lose weight fast no exercise needed http://example.com,spam
Re: your order has shipped,ham
suspended account verify now,spam
urgent action required verify account http://example.com,spam
NEW MESSAGE IN YOUR INBOX,ham
million dollar opportunity awaits http://example.com,spam
 receipt for your purchase,ham
Re: calendar invite team sync,ham
Thanks For The Update John,ham
YOUR REFUND IS WAITING CLAIM NOW,spam
Re: documents from meeting shared with you,ham
project update attached,ham
congratulations winner won account,spam
Subscription Renewal Coming Up,ham
Re: your order has shipped,ham
get rich quick work from home http://example.com,spam
FREE MONEY CLICK HERE NOW,spam
lose weight fast no exercise needed http://example.com,spam
Dinner Reservations For Saturday,ham
link limited time account,spam
MEET SINGLES IN YOUR AREA TONIGHT,spam
[SPAM] job offer salary $100k work from home,spam
Earn $5000 Daily From Home,spam
nigerian prince needs your help,spam
Re: subscription renewal coming up,ham
Weekly Report Attached Please Review,ham
Welcome To Our Service,ham
account settings updated successfully - thanks,ham
CAN YOU REVIEW MY PULL REQUEST,ham
[SPAM] job offer salary $100k work from home,spam
Re: calendar invite team sync,ham
Shipping Confirmation Order 12345,ham
 receipt for your purchase,ham
PROJECT UPDATE THE CODEBASE IS READY,ham
flight confirmation booking abc123,ham
job offer salary $100k work from home http://example.com,spam
Re: shipping confirmation order 12345,ham
welcome to our service,ham
your lunch confirmation,ham
Re: new message in your inbox,ham
Re: reminder about appointment tomorrow,ham
please review the proposal,ham
HAPPY BIRTHDAY HOPE YOU HAVE A GREAT DAY,ham
THANKS FOR THE UPDATE JOHN,ham
Congratulations You Won Lottery,spam
suspended account verify now http://example.com,spam
Re: your order has shipped,ham
thanks for the update john,ham
NIGERIAN PRINCE NEEDS YOUR HELP,spam
THANK YOU FOR YOUR PURCHASE,ham
free money click here now!!!,spam
Re: password reset request received,ham
please review the proposal - thanks,ham
monthly newsletter january - thanks,ham
 receipt for your purchase - thanks,ham
exclusive deal for you only today,spam
Re: thank you for your purchase,ham
suspended offer only link,spam
your review confirmation,ham
cheap pharma online no prescription http://example.com,spam
[SPAM] adult content exclusive access click,spam
shipping confirmation order 12345,ham
Act Immediately Avoid Account Closure,spam
happy sync,ham
Re: happy birthday hope you have a great day,ham
lose weight fast no exercise needed http://example.com,spam
your refund is waiting claim now http://example.com,spam
Can You Review My Pull Request,ham
Dinner Reservations For Saturday,ham
Flight Confirmation Booking Abc123,ham
NEW MESSAGE IN YOUR INBOX,ham
CAN YOU REVIEW MY PULL REQUEST,ham
new message in your inbox - thanks,ham
SHIPPING CONFIRMATION ORDER 12345,ham
limited time offer act now http://example.com,spam
THANKS FOR THE UPDATE JOHN,ham
Hotel Booking Confirmation Ref 456,ham
URGENT ACTION REQUIRED VERIFY ACCOUNT,spam
[SPAM] exclusive deal for you only today,spam
Re: welcome to our service,ham
Re: new message in your inbox,ham
MILLION DOLLAR OPPORTUNITY AWAITS,spam
job offer salary $100k work from home,spam
special promotion just for you http://example.com,spam
suspended account verify now http://example.com,spam
reminder about appointment tomorrow,ham
Password Reset Request Received,ham
password reset request received,ham
Hotel Booking Confirmation Ref 456,ham
MEET SINGLES IN YOUR AREA TONIGHT,spam
urgent action required verify account http://example.com,spam
dear winner claim your prize!!!,spam
please review the proposal - thanks,ham
Earn $5000 Daily From Home,spam
suspended account verify now http://example.com,spam
please sync the update,ham
adult content exclusive access click http://example.com,spam
ACT IMMEDIATELY AVOID ACCOUNT CLOSURE,spam
nigerian prince needs your help http://example.com,spam
Million Dollar Opportunity Awaits,spam
Get Rich Quick Work From Home,spam
ACT IMMEDIATELY AVOID ACCOUNT CLOSURE,spam
MEET SINGLES IN YOUR AREA TONIGHT,spam
Calendar Invite Team Sync,ham
meeting project at sync,ham
Re: shipping confirmation order 12345,ham
SPECIAL PROMOTION JUST FOR YOU,spam
free money click here now http://example.com,spam
Dear Winner Claim Your Prize,spam
Order Now Free Shipping,spam
free verify click suspended,spam
your account has been compromised click link!!!,spam
Congratulations You Won Lottery,spam
dear winner claim your prize!!!,spam
welcome to our service,ham
happy birthday hope you have a great day,ham
credit card offer approved click!!!,spam
adult content exclusive access click,spam
[SPAM] order now free shipping,spam
winner offer only offer,spam
confirm for project,ham
free money click here now!!!,spam
please confirm the review,ham
Thank You For Your Purchase,ham
thank you for your purchase - thanks,ham
Hotel Booking Confirmation Ref 456,ham
JOB OFFER SALARY $100K WORK FROM HOME,spam
Re: thanks for the update john,ham
calendar invite team sync - thanks,ham
WELCOME TO OUR SERVICE,ham
JOB OFFER SALARY $100K WORK FROM HOME,spam
congratulations your email won prize,spam
exclusive deal for you only today http://example.com,spam
team meeting tomorrow at 3pm,ham
order now free shipping http://example.com,spam
new message in your inbox,ham
Credit Card Offer Approved Click,spam
[SPAM] get rich quick work from home,spam
Weekly Report Attached Please Review,ham
new message in your inbox,ham
Subscription Renewal Coming Up,ham
Re: project update the codebase is ready,ham
your order has shipped - thanks,ham
congratulations you won lottery http://example.com,spam
[SPAM] suspended account verify now,spam
Please Review The Proposal,ham
HAPPY BIRTHDAY HOPE YOU HAVE A GREAT DAY,ham
Re: thank you for your purchase,ham
cheap pharma online no prescription http://example.com,spam
can you review my pull request,ham
please review the proposal,ham
happy birthday hope you have a great day - thanks,ham
ORDER NOW FREE SHIPPING,spam
shipping confirmation order 12345,ham
EARN $5000 DAILY FROM HOME,spam
happy birthday hope you have a great day,ham
Special Promotion Just For You,spam
free winner click discount,spam
monthly newsletter january,ham
Re: happy birthday hope you have a great day,ham
NIGERIAN PRINCE NEEDS YOUR HELP,spam
ADULT CONTENT EXCLUSIVE ACCESS CLICK,spam
Hotel Booking Confirmation Ref 456,ham
act immediately avoid account closure http://example.com,spam
[SPAM] adult content exclusive access click,spam
job offer salary $100k work from home,spam
HOTEL BOOKING CONFIRMATION REF 456,ham
[SPAM] limited time offer act now,spam
Weekly Report Attached Please Review,ham
HOTEL BOOKING CONFIRMATION REF 456,ham
earn link daily account,spam
YOUR ORDER HAS SHIPPED,ham
job offer salary $100k work from home!!!,spam
[SPAM] bitcoin investment opportunity guaranteed returns,spam
[SPAM] earn $5000 daily from home,spam
meet singles in your area tonight!!!,spam
adult content exclusive access click http://example.com,spam
Welcome To Our Service,ham
WEEKLY REPORT ATTACHED PLEASE REVIEW,ham
[SPAM] act immediately avoid account closure,spam
dinner reservations for saturday - thanks,ham
CREDIT CARD OFFER APPROVED CLICK,spam
[SPAM] congratulations you won lottery,spam
weekly report attached please review - thanks,ham
weekly report attached please review,ham
Re: dinner reservations for saturday,ham
SUBSCRIPTION RENEWAL COMING UP,ham
order now free shipping!!!,spam
documents from meeting shared with you - thanks,ham
Reminder About Appointment Tomorrow,ham
account settings updated successfully - thanks,ham
act immediately avoid account closure,spam
[SPAM] lose weight fast no exercise needed,spam
can you review my pull request - thanks,ham
new message in your inbox - thanks,ham
Re: please review the proposal,ham
[SPAM] extreme discount luxury items,spam
 RECEIPT FOR YOUR PURCHASE,ham
please review the proposal - thanks,ham
FREE MONEY CLICK HERE NOW,spam
[SPAM] urgent action required verify account,spam
get rich quick work from home http://example.com,spam
earn $5000 daily from home http://example.com,spam
order now free shipping,spam
YOUR ACCOUNT HAS BEEN COMPROMISED CLICK LINK,spam
dear winner claim your prize http://example.com,spam
limited time offer act now!!!,spam
Your Account Has Been Compromised Click Link,spam
Thank You For Your Purchase,ham
your refund is waiting claim now!!!,spam
Documents From Meeting Shared With You,ham
lunch for meeting,ham
congratulations you won lottery,spam
special promotion just for you!!!,spam
job offer salary $100k work from home http://example.com,spam
meet singles in your area tonight!!!,spam
meet singles in your area tonight!!!,spam
Welcome To Our Service,ham
CHEAP PHARMA ONLINE NO PRESCRIPTION,spam
exclusive deal for you only today,spam
suspended account verify now,spam
HAPPY BIRTHDAY HOPE YOU HAVE A GREAT DAY,ham
ADULT CONTENT EXCLUSIVE ACCESS CLICK,spam
Re: thank you for your purchase,ham
please review the proposal - thanks,ham
Urgent Action Required Verify Account,spam
[SPAM] special promotion just for you,spam
[SPAM] credit card offer approved click,spam
extreme discount luxury items,spam
your account has been compromised click link!!!,spam
your bitcoin is lottery click money,spam
Thank You For Your Purchase,ham
BITCOIN INVESTMENT OPPORTUNITY GUARANTEED RETURNS,spam
meet singles in your area tonight!!!,spam
Project Update The Codebase Is Ready,ham
LOSE WEIGHT FAST NO EXERCISE NEEDED,spam
THANKS FOR THE UPDATE JOHN,ham
exclusive deal for you only today,spam
GET RICH QUICK WORK FROM HOME,spam
nigerian prince needs your help http://example.com,spam
Cheap Pharma Online No Prescription,spam
exclusive deal for you only today,spam
credit card offer approved click,spam
 receipt for your purchase,ham
password reset request received - thanks,ham
new message in your inbox - thanks,ham
Account Settings Updated Successfully,ham
Hotel Booking Confirmation Ref 456,ham
 Receipt For Your Purchase,ham
JOB OFFER SALARY $100K WORK FROM HOME,spam
[SPAM] adult content exclusive access click,spam
bitcoin investment opportunity guaranteed returns http://example.com,spam
special promotion just for you!!!,spam
Suspended Account Verify Now,spam
Re: team meeting tomorrow at 3pm,ham
calendar invite team sync - thanks,ham
ORDER NOW FREE SHIPPING,spam
Project Update The Codebase Is Ready,ham
Nigerian Prince Needs Your Help,spam
Re: your order has shipped,ham
exclusive deal for you only today!!!,spam
Meet Singles In Your Area Tonight,spam
Thanks For The Update John,ham
reminder about appointment tomorrow,ham
Re: happy birthday hope you have a great day,ham
new message in your inbox,ham
SUBSCRIPTION RENEWAL COMING UP,ham
Flight Confirmation Booking Abc123,ham
project update the codebase is ready,ham
SHIPPING CONFIRMATION ORDER 12345,ham
meeting meeting at confirm,ham
Earn $5000 Daily From Home,spam
lose weight fast no exercise needed,spam
thanks for thanks,ham
LUNCH PLANS FOR FRIDAY,ham
[SPAM] limited time offer act now,spam
credit card offer approved click,spam
your order has shipped - thanks,ham
dear winner claim your prize,spam
 RECEIPT FOR YOUR PURCHASE,ham
SPECIAL PROMOTION JUST FOR YOU,spam
NIGERIAN PRINCE NEEDS YOUR HELP,spam
CREDIT CARD OFFER APPROVED CLICK,spam
FLIGHT CONFIRMATION BOOKING ABC123,ham
Re: lunch plans for friday,ham
congratulations money won offer,spam
GET RICH QUICK WORK FROM HOME,spam
Order Now Free Shipping,spam
Re: can you review my pull request,ham
Re: monthly newsletter january,ham
Re: can you review my pull request,ham
suspended account verify now,spam
HAPPY BIRTHDAY HOPE YOU HAVE A GREAT DAY,ham
team update attached,ham
team meeting tomorrow at 3pm,ham
Re: monthly newsletter january,ham
meet singles in your area tonight http://example.com,spam
Meet Singles In Your Area Tonight,spam
get rich quick work from home!!!,spam
[SPAM] special promotion just for you,spam
EARN $5000 DAILY FROM HOME,spam
happy birthday hope you have a great day,ham
million dollar opportunity awaits,spam
BITCOIN INVESTMENT OPPORTUNITY GUARANTEED RETURNS,spam
Hotel Booking Confirmation Ref 456,ham
REMINDER ABOUT APPOINTMENT TOMORROW,ham
LOSE WEIGHT FAST NO EXERCISE NEEDED,spam
project update the codebase is ready,ham
Flight Confirmation Booking Abc123,ham
weekly report attached please review - thanks,ham
million dollar opportunity awaits http://example.com,spam
